subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,stim_reliability_level,r
2,audio,different_sds,1,1,0,2639.294109,4.00E-05,2,255.2511578,1,1,4
3,audio,different_sds,2,4,1,3729.558503,0.02,2,160.460539,1,4,8
3,audio,different_sds,1,1,1,2765.903065,4.00E-05,1,213.9343556,1,1,4
3,audio,different_sds,1,2,0,2692.532934,3.00E-04,2,128.5883632,1,3,3
3,audio,different_sds,2,4,1,3573.723811,0.02,2,347.5657242,1,4,8
3,audio,different_sds,1,1,1,2461.263089,4.00E-05,1,45.38525798,0,1,4
3,audio,different_sds,2,3,1,2258.664913,3.00E-04,2,278.0340387,1,3,7
4,audio,different_sds,1,2,0,2873.356477,3.00E-04,2,275.0168957,1,3,3
4,audio,different_sds,2,3,0,2350.114866,0.02,1,278.4901922,1,4,7
4,audio,different_sds,1,2,1,2560.637209,2.00E-04,1,87.89677599,1,2,3
4,audio,different_sds,2,1,0,2721.66324,4.00E-05,1,19.46916965,0,1,5
4,audio,different_sds,1,1,1,2688.316609,4.00E-05,1,179.8953124,1,1,4
4,audio,different_sds,2,3,1,3282.622005,0.02,2,322.9024422,1,4,7
1,audio,different_sds,1,2,0,3138.003556,0.02,2,307.3491966,0,4,3
1,audio,different_sds,1,2,1,2843.202578,0.02,1,136.46938,1,4,3
1,audio,different_sds,2,2,0,2557.412193,2.00E-04,1,209.4667796,0,2,6
1,audio,different_sds,1,2,0,3157.564148,3.00E-04,2,85.56124404,0,3,3
1,audio,different_sds,1,2,1,2716.822955,2.00E-04,1,85.97924239,1,2,3
1,audio,different_sds,2,3,1,3557.896603,3.00E-04,2,131.5821424,1,3,7
2,audio,different_sds,2,2,0,3016.89089,3.00E-04,1,109.3691641,1,3,6
2,audio,different_sds,1,2,1,2763.587293,0.02,1,90.02375042,1,4,3
2,audio,different_sds,2,1,0,2725.382209,4.00E-05,1,36.73488099,0,1,5
2,audio,different_sds,2,2,1,1997.364889,3.00E-04,2,359.8506873,1,3,6
2,audio,different_sds,1,2,1,2767.603635,3.00E-04,1,74.6834286,1,3,3
2,audio,different_sds,1,2,1,2646.522379,4.00E-05,1,356.9950574,1,1,3
3,audio,different_sds,2,3,0,3230.947269,3.00E-04,1,153.3991652,1,3,7
3,audio,different_sds,2,3,1,3035.997947,0.02,2,190.8176271,1,4,7
3,audio,different_sds,1,3,1,2723.919469,0.02,1,199.3835105,1,4,2
3,audio,different_sds,1,3,1,2754.393979,3.00E-04,1,29.13677204,1,3,2
3,audio,different_sds,1,1,1,2706.8901,4.00E-05,1,210.712528,1,1,4
3,audio,different_sds,1,1,0,2624.88914,4.00E-05,2,48.32210184,1,1,4
4,audio,different_sds,2,2,0,2599.62876,0.02,1,71.65950658,0,4,6
4,audio,different_sds,1,3,1,2727.619272,2.00E-04,1,60.60989347,1,2,2
4,audio,different_sds,1,3,1,2487.836541,2.00E-04,1,22.06533232,1,2,2
4,audio,different_sds,1,2,0,2372.600087,0.02,2,324.5192966,0,4,3
4,audio,different_sds,1,3,1,2688.504517,2.00E-04,1,240.6761567,1,2,2
4,audio,different_sds,1,2,1,2793.662757,4.00E-05,1,55.94519247,1,1,3
1,audio,different_sds,2,1,1,3152.054517,4.00E-05,2,143.2924767,1,1,5
1,audio,different_sds,2,3,1,2112.018609,2.00E-04,2,103.1197605,1,2,7
1,audio,different_sds,1,2,1,2516.723498,2.00E-04,1,151.4851228,1,2,3
1,audio,different_sds,1,2,1,2745.558997,3.00E-04,1,19.61680677,1,3,3
1,audio,different_sds,1,2,1,2626.850235,3.00E-04,1,20.67533439,1,3,3
1,audio,different_sds,2,4,1,2112.034945,0.02,2,270.8380199,1,4,8
2,audio,different_sds,2,1,1,2878.107367,3.00E-04,2,158.5693086,0,3,5
2,audio,different_sds,2,1,0,2737.363575,4.00E-05,1,62.56721272,0,1,5
2,audio,different_sds,1,2,0,2348.379852,2.00E-04,2,259.2479627,0,2,3
2,audio,different_sds,1,2,0,2521.200584,0.02,2,261.1369485,1,4,3
2,audio,different_sds,1,3,1,2741.431776,0.02,1,338.280742,1,4,2
2,audio,different_sds,1,1,0,3487.353276,4.00E-05,2,106.5137204,0,1,4
3,audio,different_sds,1,3,0,2667.07015,3.00E-04,2,106.6644499,1,3,2
3,audio,different_sds,1,3,1,2718.770588,0.02,1,17.98005726,1,4,2
3,audio,different_sds,1,3,1,2694.331431,0.02,1,294.1147751,1,4,2
3,audio,different_sds,1,3,1,2746.410722,0.02,1,63.49582113,1,4,2
3,audio,different_sds,1,3,0,3058.951696,0.02,2,268.5347718,0,4,2
3,audio,different_sds,2,2,1,2362.565466,3.00E-04,2,318.9461949,1,3,6
4,audio,different_sds,2,1,1,1461.349313,3.00E-04,2,189.6339879,1,3,5
4,audio,different_sds,1,3,1,2667.149171,3.00E-04,1,154.5911346,1,3,2
4,audio,different_sds,1,2,0,2622.74997,3.00E-04,2,225.4571056,1,3,3
4,audio,different_sds,1,3,1,2645.987551,3.00E-04,1,335.3258283,1,3,2
4,audio,different_sds,1,2,1,2620.813144,0.02,1,316.1287253,1,4,3
4,audio,different_sds,1,1,0,2393.166417,4.00E-05,2,60.06428602,0,1,4
1,audio,different_sds,1,1,1,2773.730972,4.00E-05,1,77.54551933,1,1,4
1,audio,different_sds,2,2,0,2785.480406,2.00E-04,1,349.918709,0,2,6
1,audio,different_sds,1,2,1,2781.291016,0.02,1,315.520244,1,4,3
1,audio,different_sds,2,1,1,3559.235857,4.00E-05,2,203.2688351,1,1,5
1,audio,different_sds,1,2,1,2736.479841,3.00E-04,1,62.16114071,1,3,3
1,audio,different_sds,1,2,1,2726.439123,3.00E-04,1,233.1410162,1,3,3
2,audio,different_sds,1,1,1,2657.460371,2.00E-04,1,238.5448311,1,2,4
2,audio,different_sds,2,1,1,2374.931665,0.02,2,349.8382407,1,4,5
2,audio,different_sds,1,1,0,2264.731559,4.00E-05,2,138.9096954,0,1,4
2,audio,different_sds,1,2,1,2699.102928,0.02,1,34.99308685,1,4,3
2,audio,different_sds,1,1,1,2700.523781,4.00E-05,1,102.5663504,1,1,4
2,audio,different_sds,1,2,1,2797.105693,3.00E-04,1,34.94567265,1,3,3
3,audio,different_sds,1,3,1,2570.761008,0.02,1,309.5289269,1,4,2
3,audio,different_sds,2,4,1,3387.303735,0.02,2,240.9874248,1,4,8
3,audio,different_sds,2,1,0,2751.526136,4.00E-05,1,73.17366994,0,1,5
3,audio,different_sds,1,3,1,2735.84379,0.02,1,77.88991404,1,4,2
3,audio,different_sds,2,2,1,3048.276609,2.00E-04,2,271.2352057,1,2,6
3,audio,different_sds,2,1,0,2757.362585,2.00E-04,1,350.4459137,0,2,5
4,audio,different_sds,2,1,1,3063.847674,4.00E-05,2,176.3953113,1,1,5
4,audio,different_sds,2,2,0,2702.599795,2.00E-04,1,288.5227476,0,2,6
4,audio,different_sds,2,1,1,2734.324263,4.00E-05,2,182.8746987,0,1,5
4,audio,different_sds,1,3,1,2725.799293,0.02,1,258.5541213,1,4,2
4,audio,different_sds,2,1,1,3052.42785,2.00E-04,2,348.0955109,1,2,5
4,audio,different_sds,1,3,1,2722.919935,0.02,1,99.08729821,1,4,2
1,audio,different_sds,1,1,1,2685.582168,4.00E-05,1,219.8814757,1,1,4
1,audio,different_sds,2,3,1,3128.641077,2.00E-04,2,72.94981576,1,2,7
1,audio,different_sds,1,2,1,2707.424167,3.00E-04,1,127.0842962,1,3,3
1,audio,different_sds,1,2,1,2633.619775,3.00E-04,1,327.6913123,1,3,3
1,audio,different_sds,2,1,0,2768.860144,4.00E-05,1,256.7059102,0,1,5
1,audio,different_sds,2,3,1,2245.691706,0.02,2,224.1278496,1,4,7
2,audio,different_sds,1,1,1,2787.431316,4.00E-05,1,231.8257259,1,1,4
2,audio,different_sds,1,1,0,1535.807138,2.00E-04,2,270.3306557,0,2,4
2,audio,different_sds,1,2,1,2633.433298,0.02,1,94.10097832,1,4,3
2,audio,different_sds,1,2,0,2604.124751,2.00E-04,2,305.4477103,1,2,3
2,audio,different_sds,2,1,0,2737.148413,4.00E-05,1,112.0392799,0,1,5
2,audio,different_sds,1,1,0,2586.759994,0.02,2,210.381112,1,4,4
3,audio,different_sds,1,1,1,2560.756712,2.00E-04,1,231.8197408,1,2,4
3,audio,different_sds,1,2,1,2658.511828,3.00E-04,1,41.75592378,1,3,3
3,audio,different_sds,1,3,1,2740.859699,3.00E-04,1,132.5752937,1,3,2
3,audio,different_sds,1,1,1,2790.544955,2.00E-04,1,254.9952053,1,2,4
3,audio,different_sds,1,2,1,2695.897529,3.00E-04,1,8.444456799,1,3,3
3,audio,different_sds,1,1,0,2883.280387,4.00E-05,2,29.3909433,1,1,4
4,audio,different_sds,2,3,1,2884.161658,0.02,2,241.0962245,0,4,7
4,audio,different_sds,2,2,1,2337.061688,2.00E-04,2,86.6718072,1,2,6
4,audio,different_sds,1,1,0,2164.227684,4.00E-05,2,124.3518503,0,1,4
4,audio,different_sds,2,1,0,2663.416302,4.00E-05,1,270.9871922,0,1,5
4,audio,different_sds,1,3,1,2617.092536,2.00E-04,1,89.62129069,1,2,2
4,audio,different_sds,2,1,1,3577.83317,4.00E-05,2,96.35377939,1,1,5
1,audio,different_sds,1,2,1,2799.289954,0.02,1,204.6274643,1,4,3
