subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,r,stim_reliability_level
6,visual,different_sds,1,3,1,-4.092455432,0.033,1,5.286477315,1,2,1
6,visual,different_sds,2,1,0,2.416086765,0.135,1,208.3916154,0,5,4
6,visual,different_sds,1,3,1,-0.682122171,0.135,1,41.34230907,1,2,4
6,visual,different_sds,2,2,1,-8.913807151,0.135,2,85.64794603,1,6,4
7,visual,different_sds,2,1,1,2.029416228,0.05,2,128.9809633,0,5,2
7,visual,different_sds,1,2,1,4.854711149,0.067,1,345.5724771,1,3,3
7,visual,different_sds,1,1,1,5.277524341,0.05,1,153.0948538,0,4,2
7,visual,different_sds,2,3,1,-6.201125129,0.135,2,100.320345,1,7,4
7,visual,different_sds,1,2,1,-1.373329859,0.135,1,156.1528696,1,3,4
7,visual,different_sds,2,3,1,14.81539481,0.135,2,150.5675806,1,7,4
8,visual,different_sds,1,1,0,-6.100429416,0.033,2,83.81055451,0,4,1
8,visual,different_sds,2,3,0,6.320240704,0.135,1,292.5549843,1,7,4
8,visual,different_sds,2,4,0,-2.78315964,0.067,1,215.1605239,0,8,3
8,visual,different_sds,1,2,1,3.259885772,0.033,1,44.7080104,1,3,1
8,visual,different_sds,2,2,0,-7.893473468,0.067,1,228.6391717,1,6,3
8,visual,different_sds,1,1,1,1.323998513,0.033,1,268.5950411,1,4,1
1,visual,different_sds,2,1,1,18.41364219,0.135,2,39.5244885,1,5,4
1,visual,different_sds,1,1,0,0.201887715,0.05,2,268.727291,1,4,2
1,visual,different_sds,1,1,0,1.306837572,0.067,2,332.9671432,1,4,3
1,visual,different_sds,1,2,0,0.183291234,0.135,2,359.2483534,1,3,4
1,visual,different_sds,1,1,0,3.5656894,0.05,2,223.7639875,1,4,2
1,visual,different_sds,1,1,1,3.757256062,0.067,1,154.2819928,1,4,3
2,visual,different_sds,1,2,1,2.755549574,0.067,1,165.1668823,1,3,3
2,visual,different_sds,2,1,0,1.69875325,0.033,1,292.5776895,0,5,1
2,visual,different_sds,1,1,1,3.593252948,0.067,1,236.511455,1,4,3
2,visual,different_sds,2,1,1,4.285769958,0.033,2,208.5511287,0,5,1
2,visual,different_sds,1,1,1,-0.124677443,0.05,1,211.5942671,1,4,2
2,visual,different_sds,2,1,0,3.69366705,0.05,1,10.93024055,0,5,2
3,visual,different_sds,1,2,1,2.679469395,0.05,1,312.2928106,1,3,2
3,visual,different_sds,2,1,1,6.002418618,0.033,2,25.12787366,1,5,1
3,visual,different_sds,1,4,1,0.919120848,0.135,1,301.408566,1,1,4
3,visual,different_sds,2,4,1,11.48068311,0.135,2,334.0939792,1,8,4
3,visual,different_sds,2,2,1,4.775023155,0.033,2,155.5275557,0,6,1
3,visual,different_sds,1,2,1,3.333507926,0.135,1,143.1635036,1,3,4
4,visual,different_sds,2,3,0,-9.450057949,0.135,1,124.4625724,1,7,4
4,visual,different_sds,1,1,1,-3.437283554,0.033,1,273.1644492,1,4,1
4,visual,different_sds,2,1,1,6.718701499,0.135,2,314.1265989,1,5,4
4,visual,different_sds,2,1,1,-22.21237467,0.033,2,324.2677938,1,5,1
4,visual,different_sds,1,2,0,-1.231253147,0.135,2,219.1268763,1,3,4
